stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening W:\GPS Year 2\AIprogramming\Labs\AI BREADTH FIRST\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02523] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02526] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.02528] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02531] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.02534] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02537] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.02540] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02543] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.02545] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02548] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.02551] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02554] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.02556] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02559] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02562] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02565] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02568] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02572] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.02575] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02578] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.02581] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02584] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.02586] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02590] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.02592] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02595] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.02598] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02601] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.02603] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02607] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.02609] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02612] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02615] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02618] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02620] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02624] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.02626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02629] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.02632] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02635] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.02637] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02640] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.02643] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02646] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.02648] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.02652] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.02654] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
