stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening F:\GPS Year 2\AIprogramming\AIProgrammingAssignmentOne\AIProgrammingAssignmentTwo\AI FSM Simulator 1.0\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.01608] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01610] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01612] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01614] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01616] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01620] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01621] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01623] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01627] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01632] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01634] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01636] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01638] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01639] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01642] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01643] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01645] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01649] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01650] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01653] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01654] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01656] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01658] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01660] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01664] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01666] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01669] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01671] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01673] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01677] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01679] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01680] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01682] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01684] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01690] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01691] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01695] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
